date,news
20030219,Bank of America cuts fixed home loan rates
20030227,bank launches initiative to combat identity fraud
20030227,bhp steel records 242m half year profit
20030325,reserve bank announces new board member
20030401,president of chiles central bank resigns amid
20030404,Wells Fargo profits surge
20030415,finance union suing commonwealth bank
20030512,solomon island banks close in protest
20030513,macquarie bank shares jump on profit results
20030515,home lending boosts bank profits
20030516,nrg files for bankruptcy
20030520,Citibank bank to cut 1600 workers
20030625,no conspiracy found in png bank sale
